Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method,Brand
Foot Locker,2021-04-07,Northeast,Rhode Island,Women's Athletic Footwear,30,50,1500,In-store,Adidas
Sports Direct,2021-03-13,Northeast,Massachusetts,Women's Apparel,39,54,2106,Online,Adidas
Foot Locker,2021-04-07,Northeast,Rhode Island,Men's Apparel,45,50,2250,In-store,Adidas
West Gear,2021-01-17,Midwest,Indiana,Women's Athletic Footwear,29,45,1305,Online,Adidas
Sports Direct,2021-05-13,Northeast,Massachusetts,Men's Athletic Footwear,47,54,2538,Online,Adidas
Foot Locker,2021-07-09,Midwest,Illinois,Women's Athletic Footwear,39,50,1950,Online,Adidas
Sports Direct,2021-07-20,Northeast,Maryland,Women's Athletic Footwear,36,45,1620,Online,Adidas
Sports Direct,2021-05-13,Northeast,Massachusetts,Men's Apparel,50,54,2700,Online,Adidas
Foot Locker,2021-07-16,Midwest,Illinois,Men's Apparel,49,50,2450,Online,Adidas
Amazon,2021-10-12,Northeast,Vermont,Women's Street Footwear,59,54,3186,Online,Adidas
Foot Locker,2021-12-11,Northeast,Pennsylvania,Women's Street Footwear,41,50,2050,Online,Adidas
Foot Locker,2021-10-19,Northeast,New Hampshire,Women's Street Footwear,59,54,3186,Online,Adidas
Amazon,2021-10-29,Northeast,Maine,Women's Apparel,36,50,1800,Online,Adidas
Foot Locker,2021-01-24,Northeast,New Hampshire,Men's Apparel,60,54,3240,Online,Adidas
Foot Locker,2021-02-15,Northeast,Delaware,Women's Athletic Footwear,33,45,1485,Online,Adidas
Amazon,2021-12-17,Northeast,Maine,Women's Athletic Footwear,52,50,2600,Online,Adidas
Foot Locker,2021-10-30,Northeast,Pennsylvania,Women's Street Footwear,25,54,1350,Outlet,Adidas
Foot Locker,2021-04-14,Northeast,Delaware,Men's Apparel,47,45,2115,Online,Adidas
West Gear,2021-10-21,South,Oklahoma,Men's Apparel,29,50,1450,Online,Adidas
Foot Locker,2021-11-16,Northeast,Pennsylvania,Men's Athletic Footwear,40,54,2160,Outlet,Adidas
Sports Direct,2021-04-14,Northeast,Massachusetts,Men's Athletic Footwear,37,45,1665,Online,Adidas
Foot Locker,2021-03-11,Midwest,South Dakota,Men's Athletic Footwear,37,50,1850,Online,Adidas
Foot Locker,2021-11-23,Northeast,Pennsylvania,Women's Street Footwear,42,54,2268,Outlet,Adidas
Amazon,2021-02-12,Northeast,Vermont,Women's Athletic Footwear,36,45,1620,Online,Adidas
Sports Direct,2021-12-11,Midwest,South Dakota,Women's Athletic Footwear,45,50,2250,Online,Adidas
Foot Locker,2021-12-07,Northeast,Pennsylvania,Men's Apparel,46,54,2484,Outlet,Adidas
Sports Direct,2021-03-12,Southeast,Georgia,Men's Apparel,41,45,1845,Outlet,Adidas
Sports Direct,2021-12-11,Midwest,South Dakota,Men's Apparel,56,50,2800,Online,Adidas
Foot Locker,2021-05-25,Southeast,Virginia,Men's Apparel,34,54,1836,Outlet,Adidas
Sports Direct,2021-10-05,Northeast,Connecticut,Women's Athletic Footwear,43,45,1935,Outlet,Adidas
Foot Locker,2021-06-06,Midwest,Iowa,Women's Street Footwear,23,50,1150,Online,Adidas
West Gear,2021-04-20,South,Oklahoma,Men's Apparel,27,54,1458,Outlet,Adidas
Sports Direct,2021-10-05,Northeast,Connecticut,Men's Apparel,50,45,2250,Outlet,Adidas
West Gear,2021-05-04,Midwest,Wisconsin,Men's Athletic Footwear,39,50,1950,Online,Adidas
Foot Locker,2021-05-06,Northeast,Rhode Island,Men's Apparel,40,54,2160,Outlet,Adidas
Foot Locker,2021-03-06,Northeast,Rhode Island,Men's Athletic Footwear,27,45,1215,Outlet,Adidas
West Gear,2021-07-02,Midwest,Wisconsin,Men's Apparel,48,50,2400,Online,Adidas
Sports Direct,2021-05-13,Northeast,Massachusetts,Women's Athletic Footwear,32,54,1728,Outlet,Adidas
Amazon,2021-03-17,Northeast,New Hampshire,Women's Athletic Footwear,33,45,1485,Outlet,Adidas
West Gear,2021-08-03,Midwest,Wisconsin,Women's Athletic Footwear,39,50,1950,Online,Adidas
Foot Locker,2021-08-02,Midwest,Illinois,Women's Athletic Footwear,46,53,2438,Online,Adidas
Foot Locker,2021-06-10,Midwest,Illinois,Men's Apparel,50,44,2200,Online,Adidas
West Gear,2021-06-10,Midwest,Indiana,Women's Street Footwear,27,50,1350,Online,Adidas
Foot Locker,2021-06-19,Midwest,Illinois,Men's Athletic Footwear,48,44,2112,Online,Adidas
West Gear,2021-07-09,Midwest,Indiana,Men's Apparel,51,50,2550,Online,Adidas
Foot Locker,2021-06-26,Midwest,Illinois,Women's Street Footwear,49,44,2156,Online,Adidas
West Gear,2021-02-17,Midwest,Indiana,Men's Athletic Footwear,38,50,1900,Online,Adidas
Foot Locker,2021-07-21,Midwest,Illinois,Women's Athletic Footwear,36,44,1584,Online,Adidas
West Gear,2021-05-18,Northeast,West Virginia,Women's Athletic Footwear,33,50,1650,Online,Adidas
Foot Locker,2021-11-08,Northeast,Pennsylvania,Women's Apparel,47,44,2068,Online,Adidas
Sports Direct,2021-09-20,Northeast,Maryland,Women's Apparel,54,50,2700,Online,Adidas
Foot Locker,2021-11-23,Northeast,Pennsylvania,Women's Street Footwear,52,44,2288,Online,Adidas
Foot Locker,2021-11-30,Northeast,Pennsylvania,Women's Athletic Footwear,51,44,2244,Online,Adidas
Foot Locker,2021-04-07,Northeast,Rhode Island,Women's Apparel,33,50,1650,Online,Adidas
Foot Locker,2021-12-24,Northeast,Pennsylvania,Women's Athletic Footwear,56,44,2464,Online,Adidas
Sports Direct,2021-03-13,Northeast,Massachusetts,Women's Street Footwear,28,50,1400,Online,Adidas
West Gear,2020-04-06,West,Colorado,Men's Apparel,62,44,2728,Online,Adidas
Amazon,2021-09-10,Northeast,Vermont,Men's Apparel,58,50,2900,Online,Adidas
West Gear,2020-04-12,West,Colorado,Men's Apparel,63,44,2772,Online,Adidas
West Gear,2021-03-16,South,Louisiana,Men's Apparel,40,50,2000,Outlet,Adidas
Foot Locker,2021-11-16,Northeast,Pennsylvania,Men's Athletic Footwear,54,53,2862,Online,Adidas
Foot Locker,2020-10-27,Midwest,Minnesota,Men's Apparel,41,44,1804,Online,Adidas
Amazon,2021-04-11,Northeast,Vermont,Women's Athletic Footwear,30,50,1500,Outlet,Adidas
Foot Locker,2021-12-12,Northeast,Pennsylvania,Women's Athletic Footwear,41,53,2173,Online,Adidas
Foot Locker,2020-11-11,Midwest,Minnesota,Men's Athletic Footwear,44,44,1936,Online,Adidas
Foot Locker,2021-07-22,Midwest,Illinois,Men's Apparel,49,49,2401,Online,Adidas
Foot Locker,2021-12-30,Northeast,Pennsylvania,Women's Athletic Footwear,57,53,3021,Online,Adidas
Foot Locker,2020-12-26,Midwest,Minnesota,Men's Apparel,54,44,2376,Online,Adidas
Foot Locker,2021-08-01,Midwest,Illinois,Women's Street Footwear,48,49,2352,Online,Adidas
Foot Locker,2021-06-30,Midwest,Nebraska,Men's Apparel,41,44,1804,Online,Adidas
Foot Locker,2020-10-31,Midwest,Minnesota,Women's Street Footwear,29,53,1537,Online,Adidas
Foot Locker,2020-11-17,Midwest,Minnesota,Men's Athletic Footwear,38,49,1862,Online,Adidas
Amazon,2021-10-31,Northeast,Maine,Men's Athletic Footwear,37,44,1628,Online,Adidas
Foot Locker,2020-11-09,Midwest,Minnesota,Women's Apparel,36,53,1908,Online,Adidas
Foot Locker,2020-12-25,Midwest,Minnesota,Women's Athletic Footwear,44,49,2156,Online,Adidas
Amazon,2021-11-01,Northeast,Maine,Women's Street Footwear,27,44,1188,Online,Adidas
Amazon,2021-11-15,Northeast,Maine,Men's Apparel,50,53,2650,Online,Adidas
Foot Locker,2021-05-25,Southeast,Virginia,Men's Apparel,44,49,2156,Online,Adidas
Amazon,2021-11-20,Northeast,Maine,Women's Athletic Footwear,43,44,1892,Online,Adidas
Amazon,2021-03-20,West,Alaska,Men's Apparel,64,53,3392,Online,Adidas
Amazon,2021-04-22,Southeast,Kentucky,Men's Athletic Footwear,41,49,2009,Online,Adidas
Amazon,2021-04-21,West,Alaska,Women's Athletic Footwear,47,44,2068,Online,Adidas
West Gear,2021-04-17,South,Louisiana,Men's Apparel,43,53,2279,Online,Adidas
Amazon,2021-10-22,West,Alaska,Men's Apparel,71,44,3124,Online,Adidas
Kohl's,2021-03-25,West,New Mexico,Men's Apparel,55,53,2915,Online,Adidas
Amazon,2021-04-22,Southeast,Kentucky,Women's Street Footwear,38,49,1862,Online,Adidas
Sports Direct,2021-03-16,Southeast,Florida,Men's Apparel,61,44,2684,Online,Adidas
Sports Direct,2021-04-13,Southeast,Georgia,Men's Apparel,52,53,2756,Online,Adidas
West Gear,2021-02-21,South,Oklahoma,Women's Athletic Footwear,19,49,931,Online,Adidas
West Gear,2021-01-24,West,Utah,Men's Apparel,42,44,1848,Online,Adidas
Foot Locker,2021-11-22,Southeast,Kentucky,Men's Apparel,59,53,3127,Online,Adidas
West Gear,2021-03-19,South,Oklahoma,Men's Apparel,34,49,1666,Online,Adidas
West Gear,2021-05-25,West,Oregon,Men's Apparel,41,44,1804,Online,Adidas
West Gear,2021-04-20,South,Oklahoma,Men's Apparel,38,53,2014,Online,Adidas
Foot Locker,2021-02-23,West,Arizona,Men's Apparel,42,44,1848,Online,Adidas
Foot Locker,2021-06-12,Midwest,South Dakota,Women's Athletic Footwear,32,49,1568,Online,Adidas
Foot Locker,2021-09-13,Midwest,South Dakota,Women's Street Footwear,32,53,1696,Online,Adidas
Amazon,2021-03-21,Southeast,Kentucky,Men's Apparel,52,44,2288,Online,Adidas
Sports Direct,2021-01-09,Midwest,South Dakota,Men's Apparel,43,49,2107,Online,Adidas
Sports Direct,2021-07-08,Midwest,North Dakota,Women's Athletic Footwear,38,53,2014,Online,Adidas
Foot Locker,2021-01-12,Midwest,Kansas,Men's Apparel,48,44,2112,Online,Adidas
Foot Locker,2021-04-06,Midwest,Iowa,Men's Athletic Footwear,18,49,882,Online,Adidas
Foot Locker,2021-11-09,Midwest,North Dakota,Women's Street Footwear,39,53,2067,Online,Adidas
Foot Locker,2021-07-11,Midwest,South Dakota,Women's Athletic Footwear,38,44,1672,Online,Adidas
Foot Locker,2021-09-07,Midwest,Iowa,Women's Street Footwear,24,49,1176,Online,Adidas
Sports Direct,2021-11-12,Midwest,South Dakota,Women's Athletic Footwear,43,44,1892,Online,Adidas
Foot Locker,2021-04-06,Midwest,Iowa,Women's Street Footwear,10,53,530,Online,Adidas
West Gear,2021-11-06,Midwest,Iowa,Men's Apparel,55,49,2695,Online,Adidas
Sports Direct,2021-04-09,Midwest,North Dakota,Men's Athletic Footwear,28,44,1232,Online,Adidas
Sports Direct,2021-12-06,Northeast,Rhode Island,Men's Apparel,41,74,3034,Outlet,Adidas
West Gear,2021-05-04,Midwest,Wisconsin,Women's Street Footwear,33,49,1617,Online,Adidas
Sports Direct,2021-08-09,Midwest,North Dakota,Men's Apparel,46,44,2024,Online,Adidas
West Gear,2021-05-11,Midwest,Indiana,Women's Athletic Footwear,34,49,1666,Online,Adidas
Sports Direct,2021-09-10,Midwest,North Dakota,Women's Athletic Footwear,28,44,1232,Online,Adidas
Sports Direct,2021-06-15,Northeast,Massachusetts,Men's Apparel,39,74,2886,Outlet,Adidas
West Gear,2021-07-09,Midwest,Indiana,Women's Athletic Footwear,42,49,2058,Online,Adidas
West Gear,2021-05-04,Midwest,Wisconsin,Men's Apparel,44,53,2332,Online,Adidas
Foot Locker,2021-11-09,Midwest,North Dakota,Men's Apparel,55,44,2420,Online,Adidas
Amazon,2021-04-11,Northeast,Vermont,Women's Street Footwear,25,74,1850,Outlet,Adidas
West Gear,2021-09-11,Midwest,Indiana,Women's Street Footwear,23,49,1127,Online,Adidas
West Gear,2021-06-10,Midwest,Indiana,Men's Apparel,36,53,1908,Online,Adidas
Foot Locker,2021-06-06,Midwest,Iowa,Women's Athletic Footwear,24,44,1056,Online,Adidas
West Gear,2021-02-17,Northeast,West Virginia,Women's Athletic Footwear,34,49,1666,Online,Adidas
West Gear,2021-08-10,Midwest,Indiana,Men's Apparel,47,53,2491,Online,Adidas
Foot Locker,2021-06-06,Midwest,Iowa,Men's Apparel,34,44,1496,Online,Adidas
West Gear,2021-03-16,Northeast,West Virginia,Women's Athletic Footwear,23,49,1127,Online,Adidas
West Gear,2021-10-17,Northeast,West Virginia,Men's Apparel,41,53,2173,Online,Adidas
West Gear,2021-03-20,Northeast,Maryland,Women's Apparel,33,49,1617,Online,Adidas
Amazon,2021-01-21,Northeast,Vermont,Men's Apparel,43,74,3182,Outlet,Adidas
West Gear,2021-03-02,Midwest,Wisconsin,Men's Athletic Footwear,19,44,836,Online,Adidas
West Gear,2021-03-20,Northeast,Maryland,Women's Street Footwear,24,53,1272,Online,Adidas
Foot Locker,2021-03-13,Northeast,Delaware,Men's Apparel,46,49,2254,Online,Adidas
West Gear,2021-09-04,Midwest,Wisconsin,Women's Street Footwear,24,44,1056,Online,Adidas
Amazon,2021-09-17,Northeast,New Hampshire,Women's Athletic Footwear,41,74,3034,Outlet,Adidas
Foot Locker,2021-10-15,Northeast,Delaware,Men's Apparel,62,49,3038,Online,Adidas
West Gear,2021-01-10,Midwest,Wisconsin,Women's Athletic Footwear,28,44,1232,Online,Adidas
Foot Locker,2021-07-23,Midwest,Illinois,Women's Apparel,53,73,3869,Online,Adidas
Sports Direct,2021-10-05,Northeast,Connecticut,Women's Street Footwear,53,49,2597,Online,Adidas
West Gear,2021-03-09,Midwest,Indiana,Men's Apparel,32,44,1408,Online,Adidas
West Gear,2020-05-30,West,Washington,Men's Apparel,51,73,3723,Online,Adidas
Foot Locker,2021-02-08,Northeast,Connecticut,Women's Street Footwear,24,49,1176,Online,Adidas
West Gear,2021-10-10,Midwest,Indiana,Women's Athletic Footwear,33,44,1452,Online,Adidas
Foot Locker,2020-12-05,Midwest,Minnesota,Men's Athletic Footwear,37,73,2701,Online,Adidas
Foot Locker,2021-05-06,Northeast,Rhode Island,Men's Athletic Footwear,43,49,2107,Online,Adidas
Sports Direct,2021-08-17,South,Alabama,Men's Apparel,37,73,2701,Online,Adidas
Amazon,2021-04-18,Northeast,New Hampshire,Women's Athletic Footwear,44,49,2156,Online,Adidas
Foot Locker,2021-04-10,West,Hawaii,Women's Athletic Footwear,48,73,3504,Online,Adidas
West Gear,2021-10-17,Northeast,West Virginia,Women's Street Footwear,33,44,1452,Online,Adidas
Foot Locker,2021-11-21,Northeast,Maryland,Women's Street Footwear,49,48,2352,Online,Adidas
Foot Locker,2021-10-18,Midwest,Missouri,Women's Street Footwear,23,73,1679,Online,Adidas
Foot Locker,2021-06-22,Northeast,Maryland,Women's Athletic Footwear,37,44,1628,Online,Adidas
Foot Locker,2021-11-25,Northeast,Pennsylvania,Men's Apparel,43,48,2064,Outlet,Adidas
West Gear,2021-03-10,West,Utah,Women's Athletic Footwear,23,73,1679,Online,Adidas
Sports Direct,2021-08-21,Northeast,Maryland,Women's Athletic Footwear,37,44,1628,Online,Adidas
Foot Locker,2021-12-25,Northeast,Pennsylvania,Men's Apparel,51,48,2448,Outlet,Adidas
West Gear,2021-08-24,West,Oregon,Women's Apparel,69,73,5037,Online,Adidas
Foot Locker,2021-12-20,Northeast,Maryland,Women's Athletic Footwear,49,44,2156,Online,Adidas
Amazon,2021-02-12,Northeast,Vermont,Women's Athletic Footwear,30,48,1440,Outlet,Adidas
Kohl's,2021-02-08,Northeast,Delaware,Men's Athletic Footwear,32,53,1696,Online,Adidas
West Gear,2021-09-25,West,Oregon,Women's Apparel,41,73,2993,Online,Adidas
Foot Locker,2021-04-14,Northeast,Delaware,Women's Athletic Footwear,32,44,1408,Online,Adidas
Foot Locker,2021-06-04,Midwest,Illinois,Men's Apparel,53,47,2491,Online,Adidas
Amazon,2021-04-18,Northeast,New Hampshire,Men's Apparel,57,53,3021,Online,Adidas
West Gear,2021-02-17,South,Louisiana,Women's Athletic Footwear,44,73,3212,Online,Adidas
Foot Locker,2021-10-15,Northeast,Delaware,Women's Athletic Footwear,52,44,2288,Online,Adidas
Foot Locker,2021-07-03,Midwest,Illinois,Women's Athletic Footwear,38,47,1786,Online,Adidas
Foot Locker,2021-11-04,Northeast,Pennsylvania,Men's Athletic Footwear,33,53,1749,Outlet,Adidas
Sports Direct,2021-03-12,Southeast,Georgia,Women's Athletic Footwear,47,73,3431,Online,Adidas
Foot Locker,2021-12-31,Northeast,Pennsylvania,Men's Apparel,63,47,2961,Online,Adidas
Foot Locker,2021-03-06,Northeast,Rhode Island,Men's Athletic Footwear,34,44,1496,Online,Adidas
Foot Locker,2021-11-17,Northeast,Pennsylvania,Women's Street Footwear,38,53,2014,Outlet,Adidas
Amazon,2021-03-21,Southeast,Kentucky,Women's Street Footwear,34,73,2482,Online,Adidas
Foot Locker,2021-05-06,Northeast,Rhode Island,Women's Athletic Footwear,39,44,1716,Online,Adidas
Foot Locker,2021-11-24,Northeast,Pennsylvania,Women's Athletic Footwear,43,53,2279,Outlet,Adidas
Sports Direct,2021-11-07,Northeast,Rhode Island,Men's Apparel,58,44,2552,Online,Adidas
Walmart,2021-04-20,South,Arkansas,Men's Apparel,37,73,2701,Online,Adidas
Foot Locker,2021-12-12,Northeast,Pennsylvania,Women's Athletic Footwear,32,53,1696,Outlet,Adidas
Sports Direct,2021-08-14,Northeast,Massachusetts,Men's Apparel,50,44,2200,Online,Adidas
Foot Locker,2021-12-30,Northeast,Pennsylvania,Women's Athletic Footwear,40,53,2120,Outlet,Adidas
West Gear,2021-03-19,South,Oklahoma,Men's Athletic Footwear,19,73,1387,Online,Adidas
West Gear,2021-01-24,West,Utah,Men's Apparel,35,53,1855,Outlet,Adidas
Amazon,2021-01-14,Northeast,Massachusetts,Women's Athletic Footwear,39,44,1716,Online,Adidas
Sports Direct,2021-12-11,Midwest,South Dakota,Women's Street Footwear,45,73,3285,Online,Adidas
West Gear,2021-02-17,South,Louisiana,Men's Apparel,33,53,1749,Outlet,Adidas
Amazon,2021-04-11,Northeast,Vermont,Women's Athletic Footwear,36,44,1584,Online,Adidas
Sports Direct,2021-10-09,Midwest,North Dakota,Men's Athletic Footwear,36,73,2628,Online,Adidas
Kohl's,2021-03-25,West,New Mexico,Men's Apparel,41,53,2173,Outlet,Adidas
Foot Locker,2021-10-29,Northeast,Pennsylvania,Men's Athletic Footwear,32,44,1408,Outlet,Adidas
Foot Locker,2021-10-09,Midwest,North Dakota,Women's Apparel,53,73,3869,Online,Adidas
Sports Direct,2021-03-03,Northeast,Connecticut,Men's Apparel,39,53,2067,Outlet,Adidas
Foot Locker,2021-01-10,Northeast,Connecticut,Men's Apparel,34,44,1496,Outlet,Adidas
Foot Locker,2021-11-09,Midwest,North Dakota,Men's Athletic Footwear,36,73,2628,Online,Adidas
Foot Locker,2021-02-08,Northeast,Connecticut,Women's Street Footwear,18,53,954,Outlet,Adidas
Foot Locker,2021-04-07,Northeast,Rhode Island,Women's Street Footwear,16,44,704,Outlet,Adidas
Sports Direct,2021-02-15,Northeast,Rhode Island,Men's Athletic Footwear,31,53,1643,Outlet,Adidas
Foot Locker,2021-12-08,Midwest,North Dakota,Women's Street Footwear,48,73,3504,Online,Adidas
Sports Direct,2021-04-14,Northeast,Massachusetts,Men's Apparel,33,44,1452,Outlet,Adidas
Sports Direct,2021-02-15,Northeast,Massachusetts,Men's Apparel,36,53,1908,Outlet,Adidas
West Gear,2021-10-06,Midwest,Iowa,Women's Apparel,49,73,3577,Online,Adidas
West Gear,2021-02-24,West,Oregon,Men's Apparel,32,43,1376,Outlet,Adidas
West Gear,2020-01-18,West,Nevada,Men's Apparel,55,47,2585,Online,Adidas
Amazon,2021-01-14,Northeast,Massachusetts,Women's Athletic Footwear,29,53,1537,Outlet,Adidas
West Gear,2021-01-03,Midwest,Iowa,Women's Apparel,28,73,2044,Online,Adidas
Foot Locker,2021-06-20,Midwest,Illinois,Women's Street Footwear,36,42,1512,Online,Adidas
Foot Locker,2020-11-03,Midwest,Minnesota,Women's Apparel,38,47,1786,Online,Adidas
Amazon,2021-04-11,Northeast,Vermont,Men's Apparel,41,53,2173,Outlet,Adidas
West Gear,2021-12-02,Midwest,Wisconsin,Women's Athletic Footwear,48,73,3504,Online,Adidas
Foot Locker,2020-11-18,Midwest,Minnesota,Women's Street Footwear,33,47,1551,Online,Adidas
Foot Locker,2021-11-17,Northeast,Pennsylvania,Women's Street Footwear,52,42,2184,Online,Adidas
Amazon,2021-04-18,Northeast,New Hampshire,Women's Athletic Footwear,35,53,1855,Outlet,Adidas
West Gear,2021-12-02,Midwest,Wisconsin,Men's Apparel,57,73,4161,Online,Adidas
Foot Locker,2020-12-01,Midwest,Minnesota,Women's Athletic Footwear,33,47,1551,Online,Adidas
West Gear,2020-01-12,West,Nevada,Men's Apparel,46,52,2392,Online,Adidas
Foot Locker,2021-05-29,Midwest,Nebraska,Women's Street Footwear,23,47,1081,Online,Adidas
West Gear,2020-01-24,West,Nevada,Men's Apparel,63,52,3276,Online,Adidas
Amazon,2021-11-07,Northeast,Maine,Women's Street Footwear,42,47,1974,Online,Adidas
West Gear,2020-06-23,West,Washington,Men's Apparel,60,52,3120,Online,Adidas
West Gear,2021-02-10,Midwest,Wisconsin,Women's Street Footwear,24,73,1752,Online,Adidas
Amazon,2021-10-22,Southeast,Kentucky,Women's Street Footwear,43,47,2021,Online,Adidas
Foot Locker,2020-12-09,Midwest,Minnesota,Women's Apparel,39,52,2028,Online,Adidas
West Gear,2021-05-11,Midwest,Indiana,Men's Athletic Footwear,37,73,2701,Online,Adidas
Kohl's,2021-10-14,Midwest,Kansas,Women's Athletic Footwear,19,47,893,Online,Adidas
Foot Locker,2020-12-17,Midwest,Minnesota,Men's Athletic Footwear,38,52,1976,Online,Adidas
Kohl's,2021-09-06,Northeast,New Jersey,Women's Apparel,50,73,3650,Online,Adidas
Foot Locker,2021-02-12,Midwest,Kansas,Men's Athletic Footwear,39,47,1833,Online,Adidas
Foot Locker,2021-07-04,Midwest,Nebraska,Women's Street Footwear,36,52,1872,Online,Adidas
Sports Direct,2021-03-03,Northeast,Connecticut,Women's Apparel,38,73,2774,Online,Adidas
Sports Direct,2021-06-09,Midwest,North Dakota,Men's Apparel,38,47,1786,Online,Adidas
Amazon,2021-10-26,Northeast,Maine,Women's Street Footwear,27,52,1404,Online,Adidas
Foot Locker,2021-12-25,Northeast,Pennsylvania,Men's Apparel,64,42,2688,Online,Adidas
Sports Direct,2021-05-03,Northeast,Connecticut,Men's Athletic Footwear,48,73,3504,Online,Adidas
Foot Locker,2021-11-09,Midwest,North Dakota,Women's Athletic Footwear,39,47,1833,Online,Adidas
Amazon,2021-11-18,Northeast,Maine,Men's Athletic Footwear,52,52,2704,Online,Adidas
Foot Locker,2020-12-02,Midwest,Minnesota,Men's Apparel,42,42,1764,Online,Adidas
Sports Direct,2021-01-17,Northeast,Rhode Island,Women's Street Footwear,27,73,1971,Online,Adidas
Foot Locker,2021-03-05,Midwest,Iowa,Men's Athletic Footwear,19,47,893,Online,Adidas
Foot Locker,2021-04-18,Midwest,Missouri,Women's Athletic Footwear,23,52,1196,Online,Adidas
Foot Locker,2021-06-24,Midwest,Nebraska,Men's Apparel,42,42,1764,Online,Adidas
Amazon,2021-04-18,Northeast,New Hampshire,Women's Street Footwear,38,73,2774,Online,Adidas
Foot Locker,2021-07-05,Midwest,Iowa,Women's Athletic Footwear,37,47,1739,Online,Adidas
West Gear,2021-09-25,West,Oregon,Women's Athletic Footwear,49,52,2548,Online,Adidas
Amazon,2021-10-16,Northeast,Maine,Men's Apparel,47,42,1974,Online,Adidas
Amazon,2021-08-18,Northeast,New Hampshire,Men's Apparel,59,73,4307,Online,Adidas
West Gear,2021-06-03,Midwest,Wisconsin,Women's Athletic Footwear,24,47,1128,Online,Adidas
Amazon,2021-01-22,Midwest,Ohio,Men's Apparel,46,52,2392,Online,Adidas
Amazon,2021-11-09,Northeast,Maine,Men's Apparel,51,42,2142,Online,Adidas
West Gear,2021-04-17,Northeast,West Virginia,Women's Athletic Footwear,25,47,1175,Online,Adidas
West Gear,2020-03-18,West,Nevada,Women's Athletic Footwear,38,72,2736,Online,Adidas
Amazon,2021-10-22,West,Alaska,Women's Athletic Footwear,59,42,2478,Online,Adidas
West Gear,2021-10-17,Northeast,West Virginia,Women's Athletic Footwear,32,47,1504,Online,Adidas
West Gear,2020-03-24,West,Colorado,Women's Athletic Footwear,36,72,2592,Online,Adidas
Foot Locker,2021-04-10,West,Hawaii,Men's Apparel,52,42,2184,Online,Adidas
Amazon,2021-11-10,Northeast,Maine,Women's Apparel,56,72,4032,Online,Adidas
Amazon,2021-01-22,Midwest,Ohio,Women's Athletic Footwear,34,42,1428,Online,Adidas
Amazon,2021-03-20,West,Alaska,Women's Apparel,53,72,3816,Online,Adidas
Amazon,2021-05-23,Southeast,Kentucky,Men's Apparel,46,42,1932,Online,Adidas
West Gear,2021-05-20,Northeast,Maryland,Men's Athletic Footwear,42,47,1974,Online,Adidas
Amazon,2021-05-20,West,Alaska,Men's Athletic Footwear,56,72,4032,Online,Adidas
Amazon,2021-10-22,Southeast,Kentucky,Women's Athletic Footwear,41,42,1722,Online,Adidas
Foot Locker,2021-06-22,Northeast,Maryland,Women's Street Footwear,37,47,1739,Online,Adidas
Foot Locker,2021-04-18,Midwest,Missouri,Men's Athletic Footwear,27,72,1944,Online,Adidas
Kohl's,2021-02-14,Midwest,Kansas,Women's Athletic Footwear,20,42,840,Online,Adidas
Foot Locker,2021-01-17,Northeast,Maryland,Women's Athletic Footwear,32,47,1504,Online,Adidas
West Gear,2021-05-12,West,Utah,Women's Athletic Footwear,23,72,1656,Online,Adidas
Kohl's,2021-01-10,Northeast,Delaware,Men's Apparel,41,47,1927,Online,Adidas
Foot Locker,2021-04-12,Midwest,South Dakota,Men's Athletic Footwear,39,42,1638,Online,Adidas
West Gear,2021-10-11,West,Utah,Women's Athletic Footwear,19,72,1368,Online,Adidas
Kohl's,2021-02-08,Northeast,New Jersey,Men's Apparel,41,47,1927,Online,Adidas
Foot Locker,2021-09-13,Midwest,South Dakota,Men's Apparel,41,42,1722,Online,Adidas
West Gear,2021-04-05,West,Idaho,Men's Apparel,34,72,2448,Online,Adidas
Sports Direct,2021-03-13,Northeast,Massachusetts,Men's Athletic Footwear,38,47,1786,Online,Adidas
Foot Locker,2021-10-12,Midwest,South Dakota,Women's Street Footwear,43,42,1806,Online,Adidas
Sports Direct,2021-06-13,Southeast,Georgia,Men's Apparel,51,72,3672,Online,Adidas
Sports Direct,2021-05-13,Northeast,Massachusetts,Women's Athletic Footwear,44,47,2068,Online,Adidas
Sports Direct,2021-09-10,Midwest,North Dakota,Men's Apparel,36,42,1512,Online,Adidas
Amazon,2021-03-10,Northeast,Vermont,Men's Apparel,51,47,2397,Online,Adidas
Foot Locker,2021-01-06,Midwest,North Dakota,Men's Apparel,38,42,1596,Online,Adidas
Foot Locker,2021-10-19,Northeast,New Hampshire,Women's Athletic Footwear,62,47,2914,Online,Adidas
Foot Locker,2021-05-07,Midwest,Iowa,Men's Apparel,43,42,1806,Online,Adidas
Foot Locker,2021-04-23,West,Arizona,Men's Apparel,43,47,2021,Outlet,Adidas
West Gear,2021-09-11,Midwest,Indiana,Men's Apparel,33,42,1386,Online,Adidas
Foot Locker,2021-06-22,Northeast,Maryland,Men's Apparel,49,42,2058,Online,Adidas
West Gear,2021-04-20,South,Oklahoma,Women's Athletic Footwear,15,47,705,Outlet,Adidas
Amazon,2021-06-22,Southeast,Kentucky,Women's Athletic Footwear,29,52,1508,Online,Adidas
Kohl's,2021-10-08,Northeast,New Jersey,Women's Street Footwear,46,42,1932,Online,Adidas
